"Parcelle","ordre_extraction","ordre_BMM","Projet","BMM µg/g_sol_E1","BMM µg/g_sol_E2","Moy E1_E2","N° Laboratoire","N° FR","Argile (déc) (o/oo) g/kg","Limon Fin (déc) (o/oo) g/kg","Limon Grossier (déc) (o/oo) g/kg","Sable Fin (déc) (o/oo) g/kg","Sable Grossier (déc) (o/oo) g/kg","pH eau -","Carbonates totaux g/kg","Carb. organique (o/oo) g/kg","Matière organique (o/oo) g/kg","Azote total (o/oo) g/kg","C/N -","P2O5 Olsen (o/oo) g/kg","Cu DTPA mg/kg","Zn DTPA mg/kg","Ni DTPA mg/kg","Cu total ER (mg/Kg)","Ni total ER (mg/Kg)","Pb total ER (mg/Kg)","Zn total ER (mg/Kg)","Ecole","Age","Habitat","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface","Argile","Limon","Sable","MO","N_Tot","Cu","Ni","Pb","Zn"
"CpPl_01Bou",10,73,"ECOLE",37.8127809705844,36.9815496000251,37.3971652853048,"T-02468-24","WW 847889",172,122,94.2,146,466,8.4,193,17.8,30.7,1.6,11.2,0.057,19.5,3.8,0.46,58.7,16.3,38.9,54.6,"Boulloche",2021,"CpPl",1,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,0,11.6,37.3,172,216.2,612,30.7,1.6,58.7,16.3,38.9,54.6
"CpPl_02Bou",17,78,"ECOLE",32.9544567742454,28.6242421134406,30.789349443843,"T-02469-24","WW 847891",167,115,89.2,144,485,8.3,171,24.6,42.5,1.6,15.5,0.061,21.7,3.9,0.49,54.4,14.9,32.2,49.4,"Boulloche",2021,"CpPl",0,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,1,11.6,45.7,167,204.2,629,42.5,1.6,54.4,14.9,32.2,49.4
"CpPl_03Bou",72,35,"ECOLE",43.8417477093724,29.2562833876294,36.5490155485009,"T-02470-24","WW 847893",149,103,83.7,140,524,8.2,164,20,34.7,1.7,12,0.067,19,3.8,0.43,57.8,15.1,26.8,51.9,"Boulloche",2021,"CpPl",4,0.12,0.001,0.052,0.382,0.383,0.062,3,1,3,6,6,2,1.32209860776339,3,0,0,11.6,104.9,149,186.7,664,34.7,1.7,57.8,15.1,26.8,51.9
"CpPl_04Vol",25,59,"ECOLE",40.3123187703469,39.8727178117051,40.092518291026,"T-02471-24","WW 847895",212,132,81.4,140,435,8.2,229,19,32.9,1.6,11.6,0.072,11.5,4.1,0.26,52.1,18.3,31.6,63.3,"Voltaire",2021,"CpPl",1,0.009,0,0.084,0.144,0.711,0.052,2,0,3,7,3,1,0.925527644198456,3,0,1,10.7,44.3,212,213.4,575,32.9,1.6,52.1,18.3,31.6,63.3
"CpPl_05Vol",56,2,"ECOLE",33.0511454255813,28.9202775384249,30.9857114820031,"T-02472-24","WW 847897",193,117,96,165,430,8.4,233,16.7,28.9,1.5,10.8,0.068,17.9,4.6,0.44,53.6,16.6,27.5,56.3,"Voltaire",2021,"CpPl",0,0.009,0,0.084,0.144,0.711,0.052,2,0,3,7,3,1,0.925527644198456,3,0,1,10.7,225.3,193,213,595,28.9,1.5,53.6,16.6,27.5,56.3
"CpPl_08Mer",35,20,"ECOLE",44.2807039136153,47.8360010906451,46.0583525021302,"T-02474-24","WW 847901",126,65.4,65.4,152,591,8.2,210,21.2,36.7,1.8,12,0.077,3.3,3,0.25,17.1,9.9,18.5,38.4,"Mermoz",2021,"CpPl",2,0.078,0,0.011,0.257,0.588,0.066,1,0,3,6,8,3,1.09119042803189,3,0,1,19,31.5,126,130.8,743,36.7,1.8,17.1,9.9,18.5,38.4
"CpPl_09Mer",76,70,"ECOLE",40.9581154643253,42.4318353943982,41.6949754293617,"T-02475-24","WW 847903",339,155,142,209,155,8.3,421,30.3,52.4,3,10.1,0.22,10.7,12.1,0.55,54.5,18.9,60.1,96.8,"Mermoz",2021,"CpPl",0,0.078,0,0.011,0.257,0.588,0.066,1,0,3,6,8,3,1.09119042803189,3,0,1,19,91.6,339,297,364,52.4,3,54.5,18.9,60.1,96.8
"CpPl_10Mer",4,32,"ECOLE",54.8156991460228,42.6637520852093,48.739725615616,"T-02476-24","WW 847905",352,148,142,196,162,8.3,403,28.2,48.8,2.8,10.2,0.22,9.6,9.3,0.45,46.5,16,46.2,74.3,"Mermoz",2021,"CpPl",0,0.078,0,0.011,0.257,0.588,0.066,1,0,3,6,8,3,1.09119042803189,3,0,1,19,58.3,352,290,358,48.8,2.8,46.5,16,46.2,74.3
"CpPl_11Kur",68,53,"ECOLE",52.231249782313,59.2826289379856,55.7569393601493,"T-02477-24","WW 847907",392,152,112,162,182,8.5,417,39.4,68.2,3.7,10.7,0.11,6.1,11.3,0.62,38.5,18.1,30.7,75.2,"Kurosawa",2022,"CpPl",1,0.27,0.047,0.03,0.103,0.446,0.103,5,3,5,9,9,1,1.43224449894066,2,0,1,11.7,52.4,392,264,344,68.2,3.7,38.5,18.1,30.7,75.2
"CpPl_14Kur",57,45,"ECOLE",33.3471455995977,38.3110281344705,35.8290868670341,"T-02480-24","WW 847913",400,158,124,168,151,8.5,480,39.1,67.6,3.7,10.5,0.11,6.8,12.7,0.5,38.6,17.9,28.6,76.5,"Kurosawa",2022,"CpPl",1,0.27,0.047,0.03,0.103,0.446,0.103,5,3,5,9,9,1,1.43224449894066,2,0,0,11.7,70.7,400,282,319,67.6,3.7,38.6,17.9,28.6,76.5
